title;short_description;description;category;original_price;sale_price;regular_price;images;url
Moyra Keratin Hardener;Voor dunne en zwakke nagels heeft u een keratin hardener nodig.;<p>Voor dunne en zwakke nagels heeft u een keratin hardener nodig.</p><p>U versterkt hiermee de nagel maar tevens biedt het meer flecibiliteit. </p><p> </p><p>Droogt aan de lucht en hoeft niet in de lamp uitgehard te worden.</p><p>Inhoud: 12ml</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/c025a5986de216b106b9e557f7cbed77fca35b50.jpg;https://www.nagelproduct.nl/a-55046002/moyra-treatments/moyra-keratin-hardener/
Moyra Nail Rebuilder;Nail Rebuilder is bedoeld voor bescherming van de nagels.;<p>Nail Rebuilder is bedoeld voor bescherming van de nagels.</p><p>Kan tevens als basecoat gebruikt worden.</p><p></p><p>Droogt aan de lucht en hoeft niet in de lamp uitgehard te worden.</p><p>Inhoud: 12ml</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/e50d6191d41520c8792cb93e47475dd35a73fd13.jpg;https://www.nagelproduct.nl/a-55046006/moyra-treatments/moyra-nail-rebuilder/
Moyra Nail Therapy 5:1;Nail Therapy bevat :;"<p>Nail Therapy bevat :</p><p>vitamine: A B5 C E F.</p><p>5 plant extracten: aloe vera, ginseng, citron, grape &amp; pomegranate.</p><p>Van deze nail therapy krijg je geen splijtende nagels meer, en de nagel wordt harder bij dagelijks gebruik.</p><p>Droogt aan de lucht en hoeft niet in de lamp uitgehard te worden.</p><p>Inhoud: 12ml</p>";Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/6cdea35b86f1b1abeb24fec3887c5311c6a7d702.jpg;https://www.nagelproduct.nl/a-55046007/moyra-treatments/moyra-nail-therapy-5-1/
Moyra Matte TopCoat;Voor een natuurlijke matte look.;<p>Voor een natuurlijke matte look.</p><p> Droogt aan de lucht en hoeft niet in de lamp uitgehard te worden.</p><p>Inhoud: 12ml</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/147e3762f0b98a390b25a623789618ed35433146.jpg;https://www.nagelproduct.nl/a-55046001/moyra-treatments/moyra-matte-topcoat/
Moyra Mega Gloss TopCoat;Topcoat die een mega glans afgeeft.;<p>Topcoat die een mega glans afgeeft.</p><p>De topcoat betreft een dikke topcoat die sterk en lang mee gaat.</p><p> </p><p>Droogt aan de lucht en hoeft niet in de lamp uitgehard te worden.</p><p>Inhoud: 12ml</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/21a6feb961edd32b3559cedee437b66e3b15914b.jpg;https://www.nagelproduct.nl/a-55046000/moyra-treatments/moyra-mega-gloss-topcoat/
Moyra Diamond TopCoat;Deze topcoat bevat een langdurige glans.;<p>Deze topcoat bevat een langdurige glans. </p><p>Droogt aan de lucht en hoeft niet in de lamp uitgehard te worden.</p><p>Inhoud: 12ml</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/78df7ffeaac836087d3e1222bb6bdb4a2c0b474f.jpg;https://www.nagelproduct.nl/a-55045999/moyra-treatments/moyra-diamond-topcoat/
Moyra Shiny UV Coat;Een harde super glanzende nagellak topcoat die de nagel beschermd tegen uv/zon licht.;<p>Een harde super glanzende nagellak topcoat die de nagel beschermd tegen uv/zon licht.</p><p>Droogt aan de lucht en hoeft niet in de lamp uitgehard te worden.</p><p>Inhoud: 12ml</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/20149f42aa323b40790cb8e6019e44fbd13143b8.jpg;https://www.nagelproduct.nl/a-55045998/moyra-treatments/moyra-shiny-uv-coat/
Moyra Topcoat Fast Dry;Snel drogende nagellak die de kleur beschermd.;<p>Snel drogende nagellak die de kleur beschermd.</p><p>Droogt aan de lucht en hoeft niet in de lamp uitgehard te worden.</p><p>Inhoud: 12ml</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/d1faaf19de90bba6fc713835c69f7574f2c77922.jpg;https://www.nagelproduct.nl/a-55045997/moyra-treatments/moyra-topcoat-fast-dry/
Moyra Cuticle Oil Banana Split fles met borstel;Inhoud: 15ml;<p>Inhoud: 15ml</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/948573764585ddbf72b9ed70b3f4528c9a5e7fdf.jpg;https://www.nagelproduct.nl/a-59229505/moyra-treatments/moyra-cuticle-oil-banana-split-fles-met-borstel/
Moyra Cuticle Oil Cherry in fles met borstel;Inhoud: 12ml;<p>Inhoud: 12ml</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/f28722bf053ed05cfa00b9bb98171cc0e1669695.jpg;https://www.nagelproduct.nl/a-55697118/moyra-treatments/moyra-cuticle-oil-cherry-in-fles-met-borstel/
Moyra Cuticle Oil Strawberry in fles met borstel;Inhoud: 12ml;<p>Inhoud: 12ml</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/485830b1d5d5d7ee4be9e0739d8278abe69fa05f.jpg;https://www.nagelproduct.nl/a-55697111/moyra-treatments/moyra-cuticle-oil-strawberry-in-fles-met-borstel/
